BusinessType,BusinessName,BusinessAddress,BusinessVillageTownCity,BusinessCountry,BusinessCountryMain,BusinessPostCode,BusinessBooking.com_URL,BusinessDistanceFromBV,RoomType,RoomCost,Hotel_Star
B&B,"Holiday Inn Express - Bicester, an IHG Hotel",Bicester Gateway Business Park, Bicester, United Kingdom,UK, OX25 2BX,https://www.booking.com/hotel/gb/holiday-inn-express-bicester.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=674098607_390793007_2_1_0&highlighted_blocks=674098607_390793007_2_1_0&matching_block_id=674098607_390793007_2_1_0&sr_pri_blocks=674098607_390793007_2_1_0__13199&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 47,434",4
Hotel,Leonardo Royal Hotel Oxford,Godstow Road, Oxford, United Kingdom,UK, OX2 8AL,https://www.booking.com/hotel/gb/leonardo-royal-hotel-oxford.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=12699515_91464407_0_2_0&highlighted_blocks=12699515_91464407_0_2_0&matching_block_id=12699515_91464407_0_2_0&sr_pri_blocks=12699515_91464407_0_2_0__12510&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 44,958",4
B&B,Milton Hill House,Milton Hill, Steventon, OX13 6AF,UK, Didcot,https://www.booking.com/hotel/gb/miltonhillhouse.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=22075119_91467446_2_2_0&highlighted_blocks=22075119_91467446_2_2_0&matching_block_id=22075119_91467446_2_2_0&sr_pri_blocks=22075119_91467446_2_2_0__13175&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 47,347",4
Hotel,The Buttery,11-12 Broad Street, Oxford, United Kingdom,UK, OX1 3AP,https://www.booking.com/hotel/gb/the-buttery-oxford.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=297047503_364372214_1_0_0&highlighted_blocks=297047503_364372214_1_0_0&matching_block_id=297047503_364372214_1_0_0&sr_pri_blocks=297047503_364372214_1_0_0__12000&from=searchresults,,"1 night, 1 adult","PKR 43,125",4
Apartment,The Relais Henley,Hart Street, Henley on Thames, United Kingdom,UK, RG9 2AR,https://www.booking.com/hotel/gb/the-red-lion.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=3414328_373642237_1_1_0&highlighted_blocks=3414328_373642237_1_1_0&matching_block_id=3414328_373642237_1_1_0&sr_pri_blocks=3414328_373642237_1_1_0__18300&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 65,765",4
Hotel,Shillingford Bridge Hotel,Shillingford Hill, Wallingford, United Kingdom,UK, OX10 8LZ,https://www.booking.com/hotel/gb/shillingfordbridgehotel.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=11698710_362703357_0_41_0&highlighted_blocks=11698710_362703357_0_41_0&matching_block_id=11698710_362703357_0_41_0&sr_pri_blocks=11698710_362703357_0_41_0__9025&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 32,433",3
Hotel,"Bicester Hotel, Golf & Spa",Green Lane, Chesterton, OX26 1TE,UK, Bicester,https://www.booking.com/hotel/gb/bicester-country-club.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=4232101_103937733_2_1_0&highlighted_blocks=4232101_103937733_2_1_0&matching_block_id=4232101_103937733_2_1_0&sr_pri_blocks=4232101_103937733_2_1_0__19800&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 71,156",4
Hotel,Mollie's Motel & Diner Oxfordshire,Shrivenham Road, A420 Buckland, Faringdon,UK, Faringdon,https://www.booking.com/hotel/gb/mollies-motel.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=473079002_147330395_2_0_0&highlighted_blocks=473079002_147330395_2_0_0&matching_block_id=473079002_147330395_2_0_0&sr_pri_blocks=473079002_147330395_2_0_0__10600&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 38,094",0
Hotel,"The Randolph Hotel, by Graduate Hotels",Beaumont St, Oxford, United Kingdom,UK, OX1 2LN,https://www.booking.com/hotel/gb/randolph-hotel.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=11203376_91463899_2_42_0&highlighted_blocks=11203376_91463899_2_42_0&matching_block_id=11203376_91463899_2_42_0&sr_pri_blocks=11203376_91463899_2_42_0__24000&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 86,249",5
B&B,Courtyard by Marriott Oxford South,6 Milton Gate, Milton, OX14 4FP,UK, Abingdon,https://www.booking.com/hotel/gb/courtyard-by-marriott-oxford-south.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=410282403_125279715_2_34_0&highlighted_blocks=410282403_125279715_2_34_0&matching_block_id=410282403_125279715_2_34_0&sr_pri_blocks=410282403_125279715_2_34_0__21060&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 75,684",4
Hotel,Minster Mill Hotel,Old Minster, Minster Lovell, United Kingdom,UK, OX29 0RN,https://www.booking.com/hotel/gb/minster-mill.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=442198507_139610773_2_34_0&highlighted_blocks=442198507_139610773_2_34_0&matching_block_id=442198507_139610773_2_34_0&sr_pri_blocks=442198507_139610773_2_34_0__11000&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 39,531",4
B&B,The Cherry Tree,Chinnor Road, Kingston Blount, United Kingdom,UK, OX39 4SL,https://www.booking.com/hotel/gb/the-cherry-tree-chinnor.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=771907704_390690487_0_10_0&highlighted_blocks=771907704_390690487_0_10_0&matching_block_id=771907704_390690487_0_10_0&sr_pri_blocks=771907704_390690487_0_10_0__13620&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 48,947",4
Hotel,The Springs Resort & Golf Club,The Springs Resort & Golf Club Wallingford Road, North Stoke, OX10 6BE,UK, Wallingford,https://www.booking.com/hotel/gb/the-springs-resort-amp-golf-club.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=717209606_299041563_0_2_0&highlighted_blocks=717209606_299041563_0_2_0&matching_block_id=717209606_299041563_0_2_0&sr_pri_blocks=717209606_299041563_0_2_0__9833&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 35,337",0
B&B,The Brewery Tap,The Brewery Tap, 40-42 Ock Street, Oxfordshire,UK, Abingdon,https://www.booking.com/hotel/gb/the-brewery-tap-abingdon.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=113724201_141686683_1_1_0&highlighted_blocks=113724201_141686683_1_1_0&matching_block_id=113724201_141686683_1_1_0&sr_pri_blocks=113724201_141686683_1_1_0__13000&from=searchresults,,"1 night, 1 adult","PKR 46,718",0
B&B,Stag's Head,The Green Stags Head, Banbury, United Kingdom,UK, OX15 5EJ,https://www.booking.com/hotel/gb/stag-39-s-head.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=235858302_101057956_1_1_0&highlighted_blocks=235858302_101057956_1_1_0&matching_block_id=235858302_101057956_1_1_0&sr_pri_blocks=235858302_101057956_1_1_0__5850&from=searchresults,,"1 night, 1 adult","PKR 21,023",0
B&B,Handywater Cottages,Handywater Cottage Lower Assendon, Henley on Thames, United Kingdom,UK, RG9 6AH,https://www.booking.com/hotel/gb/handywater-cottage-b-amp-b.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaFCIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AvPQg7UGwAIB0gIkMmJkOTM3Y2MtNTZiMi00MmExLThiNjAtOWQ2MzMxOTc2Y2Fk2AIF4AIB&sid=9e0d39518f33a8ee2c6c06163311a54b&aid=304142&ucfs=1&arphpl=1&checkin=2024-11-27&checkout=2024-11-28&dest_id=1116&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=362753101c010127&srepoch=1721821739&all_sr_blocks=228295102_370418076_2_1_0&highlighted_blocks=228295102_370418076_2_1_0&matching_block_id=228295102_370418076_2_1_0&sr_pri_blocks=228295102_370418076_2_1_0__14500&from_sustainable_property_sr=1&from=searchresults,,"1 night, 1 adult","PKR 52,109",5
